Torbjorn,,,,,,,,,,,,,
Ana,0,0,,,,,,,,,,,
Ashe,0,0,,,,,,,,,,,
Baptiste,0,0,,,,,,,,,,,
Bastion,0,0,,,,,,,,,,,
Brigitte,0,0,,,,,,,,,,,
D.Va,0,0,,,,,,,,,,,
Doomfist,0,0,,,,,,,,,,,
Genji,0,0,,,,,,,,,,,
Hanzo,0,0,,,,,,,,,,,
Junkrat,0,0,,,,,,,,,,,
Lucio,0,0,,,,,,,,,,,
Mccree,0,0,,,,,,,,,,, 
Mei,0,0,,,,,,,,,,,
Mercy,0,0,,,,,,,,,,,
Moira,0,0,,,,,,,,,,,
Orisa,0,0,,,,,,,,,,,
Pharah,0,0,,,,,,,,,,,
Reaper,0,0,,,,,,,,,,,
Reinhardt,0,0,,,,,,,,,,,
Roadhog,0,0,,,,,,,,,,,
Sigma,0,0,,,,,,,,,,,
Soldier 76,0,0,,,,,,,,,,,
Sombra,0,0,,,,,,,,,,,
Symmetra,0,0,,,,,,,,,,,
Torbjorn,-1,0,,,,,,,,,,,
Tracer,0,0,,,,,,,,,,,
Widowmaker,0,0,,,,,,,,,,,
Winston,0,0,,,,,,,,,,,
Wrecking Ball,0,0,,,,,,,,,,,
Zarya,0,0,,,,,,,,,,,
Zenyatta,0,0,,,,,,,,,,,
